IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,2,1712,1,7,21,,,,,,
0,2,1712,1,7,21,,,,,,
0,2,1712,1,7,21,,,,,,
0,2,1712,1,7,21,,,,,,
0,5,1713,0,0,2,,5,,,,
0,5,1713,0,2,21,,,,,,
0,5,1713,1,2,21,,,,,,
0,5,1713,1,2,21,,,,,,
0,5,1713,1,2,21,,,,,,
0,5,1713,1,2,21,,,,,,
1,0,1599,0,0,1,1,,,,,
1,0,1599,0,4,11,1,,4,,0,
1,0,1599,1,4,11,1,,4,,0,
1,0,1599,1,4,11,1,,4,,0,
3,0,1600,0,0,1,3,,,,,
8,0,1601,0,0,1,8,,,,,
8,0,1601,0,9,11,8,,9,,1,
8,0,1601,1,9,11,8,,9,,1,
8,0,1601,1,9,11,8,,9,,1,
2,0,1602,0,0,1,2,,,,,
0,7,1714,0,0,2,,7,,,,
0,7,1714,0,3,21,,,,,,
0,7,1714,1,3,21,,,,,,
0,7,1714,1,3,21,,,,,,
0,7,1714,1,3,21,,,,,,
0,7,1714,1,3,21,,,,,,
8,0,1603,0,0,1,8,,,,,
8,0,1603,0,6,11,8,,6,,0,
8,0,1603,1,6,11,8,,6,,0,
8,0,1603,1,6,11,8,,6,,0,
0,3,1715,0,0,2,,3,,,,
0,3,1715,0,5,21,,,,,,
0,3,1715,1,5,21,,,,,,
0,3,1715,1,5,21,,,,,,
0,3,1715,1,5,21,,,,,,
0,3,1715,1,5,21,,,,,,
0,7,1716,0,0,2,,7,,,,
0,7,1716,0,1,21,,,,,,
0,7,1716,1,1,21,,,,,,
0,7,1716,1,1,21,,,,,,
0,7,1716,1,1,21,,,,,,
0,7,1716,1,1,21,,,,,,
4,0,1604,0,0,1,4,,,,,
0,6,1717,0,0,2,,6,,,,
0,6,1717,0,5,21,,,,,,
0,6,1717,1,5,21,,,,,,
0,6,1717,1,5,21,,,,,,
0,6,1717,1,5,21,,,,,,
0,6,1717,1,5,21,,,,,,
0,0,1605,0,0,1,0,,,,,
5,0,1606,0,0,1,5,,,,,
0,0,1718,0,0,2,,0,,,,
0,0,1718,1,0,2,,0,,,,
0,0,1718,1,0,2,,0,,,,
0,4,1719,0,0,2,,4,,,,
0,4,1719,0,3,21,,,,,,
0,4,1719,1,3,21,,,,,,
0,4,1719,1,3,21,,,,,,
0,4,1719,1,3,21,,,,,,
0,4,1719,1,3,21,,,,,,
0,0,1607,0,0,1,0,,,,,
0,0,1607,0,5,11,0,,5,,0,
0,0,1607,1,5,11,0,,5,,0,
0,0,1607,1,5,11,0,,5,,0,
8,0,1608,0,0,1,8,,,,,
8,0,1608,1,0,1,8,,,,,
8,0,1608,1,0,1,8,,,,,
0,8,1720,0,0,2,,8,,,,
0,8,1720,0,6,21,,,,,,
0,8,1720,1,6,21,,,,,,
0,8,1720,1,6,21,,,,,,
0,8,1720,1,6,21,,,,,,
0,8,1720,1,6,21,,,,,,
0,6,1721,0,0,2,,6,,,,
0,6,1721,0,5,21,,,,,,
0,6,1721,1,5,21,,,,,,
0,6,1721,1,5,21,,,,,,
0,6,1721,1,5,21,,,,,,
0,6,1721,1,5,21,,,,,,
0,8,1722,0,0,2,,8,,,,
0,8,1722,1,0,2,,8,,,,
0,8,1722,1,0,2,,8,,,,
0,0,1609,0,0,1,0,,,,,
0,0,1609,1,0,1,0,,,,,
0,0,1609,1,0,1,0,,,,,
1,0,1610,0,0,1,1,,,,,
1,0,1610,0,4,11,1,,4,,0,
1,0,1610,1,4,11,1,,4,,0,
1,0,1610,1,4,11,1,,4,,0,
0,3,1723,0,0,2,,3,,,,
0,3,1723,0,6,21,,,,,,
0,3,1723,1,6,21,,,,,,
0,3,1723,1,6,21,,,,,,
